Amount,Term,Income,Interest,PMT,FICO,Approval
388388,406,117571,7.41,2612.918672,717,1
248021,407,41544,3.35,1020.538551,698,1
174235,408,99821,3.24,705.1221703,722,1
293458,409,90486,3.81,1282.459229,736,1
142241,410,94296,9.41,1162.679518,649,0
125197,411,89806,5.02,638.5730323,696,1
249453,412,75411,8.35,1841.568362,670,0
205302,413,96711,5.48,1106.020136,849,1
166673,414,41173,4.61,804.860642,740,1
432438,415,106814,5.17,2239.139722,700,1
363312,416,55075,9.25,2920.237272,829,0
332459,417,63395,9.39,2706.395975,721,0
119375,418,73524,5.29,625.7626959,672,0
418514,419,82340,6.94,2657.616615,641,0
327956,420,96441,6.98,2090.571227,714,1
275461,421,53367,8.93,2144.455007,691,1
293744,422,40718,6.42,1756.335697,777,0
361200,423,73670,8.89,2799.227512,760,1
209785,424,95775,8.06,1496.643107,750,1
310503,425,41090,8.02,2205.204689,618,0
478444,426,111740,6.65,2929.589548,609,0
239217,427,74615,5.58,1290.347567,804,1
197804,428,55705,3.36,793.6901927,816,1
386502,429,60722,3.36,1548.96959,638,0
146812,430,113893,8.12,1051.280425,820,1
486058,431,110809,4.38,2239.999571,693,1
344314,432,117847,5.95,1935.72181,687,1
169193,433,109916,6.53,1017.76996,760,1
203348,434,83488,7.2,1318.379707,622,0
328999,435,58676,8.77,2510.125799,753,0
215384,436,66653,9.4,1745.303252,767,1
437585,437,69945,8.5,3248.172989,706,0
159059,438,43462,5.24,815.5072459,692,1
136931,439,68597,7.29,894.4957785,827,1
162266,440,109688,5.05,810.610635,775,1
236516,441,69837,8.36,1728.646974,594,0
149821,442,53428,7.38,987.0777725,831,1
497254,443,113952,4.19,2207.561665,708,1
202556,444,62607,8.36,1478.943235,636,0
314576,445,44159,7.8,2165.947798,761,0
493084,446,47914,4.92,2410.277439,666,0
312827,447,48069,8.48,2309.855132,836,0
376119,448,118032,5.4,1953.957065,674,0
497851,449,106916,6.46,2944.380738,736,1
141042,450,70755,4.62,660.1412169,624,0
437060,451,40699,7.42,2881.216708,768,0
140215,452,109925,7.92,975.2845683,663,0
279133,453,87768,8.75,2114.010028,817,1
305113,454,70295,5.16,1530.114064,628,0
235171,455,76860,3.76,970.694339,663,0
248413,456,105187,5.78,1347.117806,722,1
276905,457,79694,7.74,1885.918897,803,1
306063,458,116002,8.44,2243.17065,773,1
424655,459,80153,4.07,1826.318845,718,1
198265,460,44554,3.15,742.8750743,796,1
473440,461,64593,3.44,1852.144687,805,1
342164,462,95509,5.09,1690.545903,761,1
314690,463,61278,4.67,1467.675668,775,1
419088,464,81974,7.59,2800.960483,765,1
292752,465,97651,3.42,1137.075862,778,1
465932,466,47640,4.54,2129.201771,717,0
492343,467,88614,8.26,3532.447695,732,1
452488,468,116504,3.92,1888.586203,767,1
412496,469,64828,8.67,3085.729801,825,0
332291,470,73585,7.03,2080.274382,646,0
309093,471,66707,4.98,1495.357866,842,1
271236,472,99398,7.19,1728.205342,808,1
100412,473,119007,5.91,548.1977344,643,0
189513,474,102615,4.48,853.4186812,714,1
203685,475,107862,5.34,1031.582763,588,0
496365,476,117398,6.84,3031.925686,735,1
454087,477,65116,8.18,3221.459307,665,0
148682,478,42700,7,924.6630655,698,1
444470,479,86543,5.37,2254.60167,694,1
102081,480,48651,9.48,825.330876,662,0
365459,481,67105,8.22,2600.908513,684,1
324851,482,70533,8.19,2303.93339,622,0
323996,483,81747,7.5,2130.035723,844,1
325489,484,45042,7.4,2115.098366,758,0
131932,485,106636,4.78,614.9612786,638,0
229851,486,113133,6.17,1288.375218,756,1
416549,487,100953,5.58,2162.799831,846,1
481823,488,45255,5.51,2477.257439,817,0
104090,489,96264,6.66,619.0347156,652,0
125030,490,64992,3.08,448.68453,696,1
252176,491,47099,6.17,1410.2935,591,0
262068,492,78971,4.55,1176.455593,798,1
137856,493,52191,9.5,1114.196033,818,1
224062,494,68692,8.59,1652.651264,726,1
223872,495,80533,4.37,976.843173,801,1
120589,496,113357,5.81,642.3799053,778,1
205558,497,96320,3.63,800.1427177,629,0
106262,498,69343,5.92,573.6944174,608,0
324402,499,41220,3.98,1330.962956,741,1
121409,500,51201,8.79,913.0728707,793,1
112106,501,113236,8.74,838.6152816,737,1
465829,502,55340,8.35,3344.321776,585,0
166181,503,51331,5.61,859.1580282,783,1
295529,504,64820,5.99,1605.737527,610,0
470984,505,95299,4.05,1944.212304,806,1
182544,506,54373,6.21,1019.498933,842,1
437811,507,73008,9.1,3393.72515,811,0
200689,508,44690,6.81,1207.022617,848,1
342675,509,87734,5.47,1733.224625,626,0
124464,510,71707,5.16,602.7701555,715,1
103407,511,85662,5.31,511.1148162,739,1
298434,512,50193,3.05,1042.808513,742,1
266456,513,80820,3.63,1023.344639,646,0
315018,514,82390,7.11,1960.598958,634,0
133690,515,104781,8.51,973.6632698,836,1
463002,516,68885,8.31,3300.04595,801,0
462835,517,70851,5.63,2383.422407,842,1
249177,518,118695,9.3,1967.187234,794,1
207662,519,109082,5.92,1110.84735,699,1
367789,520,118384,7.76,2464.681608,585,0
366186,521,113069,5.92,1957.224228,842,1
152982,522,75844,3.81,600.5003044,712,1
349229,523,42187,3.7,1345.763296,623,0
331670,524,105528,7.27,2097.930733,672,0
285470,525,115201,4.3,1207.590159,586,0
135962,526,105043,6.39,771.1992571,785,1
463000,527,73324,4.89,2137.40763,700,1
210527,528,116590,7,1287.792142,692,1
224697,529,54779,3.74,867.5633616,797,1
432545,530,108506,7.41,2777.295219,806,1
420098,531,102036,7.92,2859.598344,629,0
161613,532,111575,6.45,921.8982907,753,1
391604,533,71359,3.56,1463.546781,581,0
374908,534,68775,4.88,1721.764804,753,1
260584,535,56255,9.05,2001.177192,843,1
443414,536,46736,3.94,1759.503997,660,0
465854,537,52786,4.27,1946.66798,583,0
375158,538,93165,3.46,1373.524709,764,1
175300,539,56330,5.49,876.892167,838,1
466176,540,105451,6.13,2543.759282,698,1
423347,541,90856,5,1971.888756,753,1
122294,542,65446,3.92,481.7438489,720,1
417783,543,93927,5.41,2062.851835,757,1
228359,544,69598,7.8,1529.396938,814,1
222524,545,91536,3.55,822.7778147,788,1
204908,546,72317,7.63,1345.122366,773,1
143600,547,63235,4.52,620.2203529,730,1
246588,548,93055,5,1144.699987,816,1
468296,549,52421,4.84,2121.566863,708,1
168659,550,64860,4.3,702.6089116,739,1
308159,551,45523,7.83,2068.182552,664,0
141217,552,71696,8.85,1059.828517,833,1
463512,553,61994,7.55,3010.078428,681,0
403971,554,46847,4.27,1671.005803,845,1
411783,555,91482,3.1,1397.594237,816,1
151073,556,49037,6.57,868.8616242,754,1
409387,557,64186,3.18,1407.074964,844,1
183315,558,59603,8.54,1330.021356,740,1
369224,559,100625,4.91,1682.379873,638,0
207285,560,103128,3.62,767.3573531,683,1
120846,561,47764,3.62,447.0596229,769,1
254484,562,73741,9.05,1947.791504,831,1
337733,563,95843,6.48,1916.151371,642,0
421576,564,86507,7.64,2761.044757,606,0
395123,565,116358,4.6,1711.707132,838,1
215046,566,71527,7.55,1393.014489,755,1
219250,567,94054,5.61,1103.374665,719,1
232207,568,111503,5.77,1194.880817,727,1
426719,569,74535,7.68,2805.390112,778,1
374882,570,117655,4.92,1702.272426,650,0
456596,571,107425,6.29,2520.696512,622,0
319120,572,91170,5.39,1553.019294,635,0
129085,573,92077,3.24,443.0320656,648,0
252408,574,49958,4.29,1035.934295,772,1
338340,575,71294,8.69,2489.431009,809,1
183703,576,45863,5.09,853.7686105,714,1
149047,577,57081,5.28,712.3704837,766,1
180887,578,57015,6.89,1077.988689,665,0
177856,579,63499,7.45,1135.737804,744,1
258703,580,52500,9.37,2042.475426,753,1
406952,581,85377,3.22,1383.633532,707,1
231450,582,64399,8.35,1639.480557,580,0
366577,583,45276,8.63,2677.351869,707,0
378948,584,53060,8.84,2830.516906,788,0
200243,585,117913,6.38,1114.742658,735,1
403618,586,66481,3.32,1392.522922,807,1
406576,587,55902,9.21,3155.952658,846,0
444139,588,112435,8.48,3189.335781,715,1
452607,589,40755,7.89,3039.936462,807,0
281556,590,76720,6.24,1536.112311,610,0
418387,591,43763,7.6,2714.8432,788,0
212204,592,94705,5.62,1060.539895,583,0
489910,593,48343,8.4,3485.054397,837,0
321668,594,109849,3.79,1200.368503,839,1
195890,595,119662,6.58,1117.293597,772,1
346236,596,98522,3.64,1256.9601,631,0
344584,597,83042,4.32,1404.917283,703,1
101500,598,96816,3.85,381.8845986,659,0
396590,599,88246,6.28,2170.710253,845,1
199161,600,116671,5.43,965.5182923,714,1
191318,601,45650,8.43,1364.319631,791,1
399580,602,78498,7.14,2446.289865,716,1
247633,603,50862,6.78,1447.564031,715,1
467011,604,57286,4.2,1859.967482,747,1
205939,605,86892,3.79,763.7754753,651,0
312505,606,110724,6.74,1816.203033,636,0
466107,607,104642,6.61,2662.349701,812,1
233504,608,75160,3.52,823.7402308,757,1
202823,609,45933,5.24,952.7365262,734,1
272352,610,62182,6.68,1569.18672,811,1
314965,611,53161,3.94,1195.466601,594,0
154300,612,43404,6.18,830.4562981,704,1
116559,613,76647,7.62,755.7527729,632,0
417988,614,115197,8.16,2887.334522,698,1
341213,615,92201,9.46,2711.568287,846,1
490105,616,95900,9.43,3882.672438,838,1
340235,617,104418,8.15,2346.798586,588,0
204649,618,52682,4.52,854.5355412,652,0
289421,619,82686,7.59,1868.298306,770,1
186987,620,52578,5.12,859.13844,792,1
391824,621,54752,4.72,1688.684447,823,1
228159,622,86229,9.16,1757.124401,585,0
104390,623,49691,3.83,386.2250897,796,1
346965,624,83792,4.5,1440.485979,848,1
125311,625,42412,6.23,677.1900503,727,1
240103,626,118690,8.66,1752.180857,799,1
483286,627,115027,4.83,2115.690619,677,0
161541,628,103738,3.18,528.3413348,610,0
490154,629,81922,4.16,1916.553191,841,1
301613,630,49442,3.01,953.2265628,795,1
482163,631,78584,6.68,2767.37226,688,1
121138,632,119784,4.6,509.7821461,682,1
386418,633,70416,4.15,1505.656047,686,1
134915,634,90872,8.6,977.4552341,684,1
385614,635,89943,3.92,1441.381008,693,1
167507,636,62489,7.53,1071.153039,810,1
106195,637,76684,6.69,609.7016298,619,0
437924,638,77705,8.09,2993.496851,695,1
415994,639,111079,6.5,2327.033053,757,1
133339,640,66863,3.19,433.7766039,775,1
293577,641,45838,7.72,1920.166772,823,0
251188,642,86893,4.71,1072.658314,845,1
139446,643,71350,4.49,573.735663,635,0
329753,644,77110,3.17,1066.042693,603,0
187491,645,100926,7.42,1181.485302,738,1
223518,646,68418,9.16,1718.828968,617,0
305248,647,78703,3.92,1134.699979,716,1
460368,648,62945,6.9,2713.174858,810,0
270194,649,98696,9.34,2116.826235,598,0
244376,650,68715,7.19,1495.001225,662,0
328143,651,101478,5.02,1469.778771,615,0
311385,652,81557,7.46,1970.426325,640,0
285912,653,96595,9.35,2241.840007,728,1
283093,654,49024,3.91,1047.167127,765,1
216634,655,114454,6.94,1282.213076,816,1
207482,656,118408,4.03,783.6824417,826,1
101657,657,49950,6.27,549.0488567,624,0
267626,658,95845,5.86,1362.130671,703,1
412442,659,106553,3.24,1340.324509,639,0
278996,660,52461,5.36,1315.634318,834,1
277463,661,99836,3.8,1002.667311,786,1
189831,662,60947,5.95,978.2660238,803,1
147154,663,63035,7.66,953.3644328,581,0
397574,664,78442,6.2,2123.468854,797,1
222300,665,54574,3.86,810.8854866,839,1
329818,666,82004,9.28,2565.764121,691,1
446817,667,118481,3.37,1483.301041,783,1
240372,668,96786,6.13,1270.13307,798,1
271101,669,47202,7.33,1684.628195,737,1
434334,670,82372,6.56,2437.543402,811,1
476190,671,90987,8.15,3268.951766,666,0
188794,672,83512,4.36,751.6514443,680,0
419830,673,105759,9.23,3247.902817,703,1
221019,674,60270,7.02,1318.831291,676,0
404016,675,78793,9.28,3141.723315,805,1
418927,676,114268,9.21,3233.674526,685,1
128978,677,98679,4.52,527.176217,764,1
414357,678,46436,5.51,1991.778305,730,0
372152,679,98619,4.46,1504.331391,623,0
246532,680,102937,3.94,907.0803273,617,0
431342,681,46987,3.23,1382.709528,839,1
209621,682,46155,8.51,1498.658293,676,0
357181,683,42953,4.75,1515.901426,825,1
274263,684,95141,7.5,1738.655967,788,1
325535,685,103259,8.26,2261.355598,778,1
338055,686,102210,9.4,2660.696458,800,1
153019,687,64435,9.43,1208.054333,623,0
126939,688,46659,4.96,557.3118673,828,1
241485,689,83668,3.62,833.0356504,801,1
260412,690,65129,5.53,1252.548318,776,1
393527,691,108189,6.21,2095.703342,653,0
110275,692,82649,7.52,700.3432296,583,0
466529,693,88480,7.48,2947.776956,771,1
397841,694,50405,9.38,3123.847843,700,0
203280,695,66560,6.44,1118.034181,625,0
111477,696,103389,4.81,476.2588309,814,1
302249,697,110327,5.02,1337.279338,847,1
183175,698,114429,9.48,1453.065354,813,1
405541,699,80670,3.08,1249.05578,680,0
456053,700,80924,8.42,3224.112552,668,0
331437,701,87721,8.03,2238.738469,776,1
453748,702,57823,4.34,1782.429842,774,1
497558,703,40195,8.65,3609.716418,629,0
344470,704,106534,7.09,2067.933876,757,1
388024,705,101480,5.73,1919.601684,704,1
171322,706,90131,8.01,1154.103925,837,1
468698,707,79743,5.28,2159.153341,633,0
343608,708,91933,8.13,2347.644693,715,1
133562,709,119649,5.38,625.0143993,664,0
491650,710,58004,6.49,2718.040056,623,0
390328,711,86849,3.13,1207.581972,601,0
371230,712,93535,5.53,1778.087756,619,0
455815,713,46849,3.18,1423.638112,730,1
184702,714,117027,3.53,619.387261,773,1
498562,715,54563,6.17,2630.669708,760,0
449941,716,74240,3.33,1447.63236,742,1
482926,717,91765,5.34,2241.920001,850,1
269593,718,64178,5.29,1241.208434,663,0
323047,719,80813,5.45,1525.860564,828,1
412318,720,80725,7.88,2732.094259,689,1
456853,721,93408,3.18,1421.561321,792,1
471287,722,48286,3.92,1701.001686,712,1
212454,723,58252,9.31,1654.483169,835,1
214421,724,57570,4.24,821.5356545,846,1
220735,725,67282,7.24,1348.988082,627,0
432930,726,58971,8.08,2937.557558,744,0
179106,727,96113,5.83,896.6040584,844,1
368356,728,75970,5.84,1846.544349,840,1
430527,729,55114,5.71,2115.025987,685,1
366528,730,101703,9.03,2769.756012,686,1
324525,731,84066,8.51,2314.637367,605,0
370039,732,50123,8.33,2585.029537,825,0
333338,733,98280,5.04,1468.020232,764,1
488335,734,118465,3.34,1562.319281,653,0
317710,735,79604,8.78,2335.577588,818,1
251173,736,87526,5.17,1129.875626,693,1
253302,737,86323,8.84,1874.378536,752,1
264670,738,59714,6.05,1367.811651,811,1
260132,739,101182,5.89,1312.010499,664,0
282189,740,64173,5.84,1412.192825,795,1
215279,741,66030,3.26,675.2940372,779,1
369573,742,46428,8.6,2661.910933,758,0
384689,743,93627,8.3,2676.739586,780,1
332892,744,43666,4.8,1403.571256,817,1
495434,745,74446,6.37,2681.865166,625,0
118637,746,94206,7.45,743.8887174,588,0
283462,747,109517,3.12,860.7313417,639,0
227068,748,102666,4.2,857.5841819,848,1
280933,749,56290,5.85,1406.376742,630,0
135615,750,63796,8.85,1004.219935,719,1
398468,751,62479,4.65,1633.542607,782,1
245315,752,41136,4.68,1010.862551,633,0
350529,753,74990,7.13,2107.068819,782,1
144687,754,100599,5.65,701.5533937,692,1
289905,755,41035,4.78,1215.202389,790,1
273972,756,110819,5.06,1205.317518,827,1
222024,757,104045,7.43,1387.669916,729,1
234096,758,58904,6.12,1219.689642,711,1
411560,759,84858,6.4,2234.41526,753,1
443842,760,67651,7.47,2787.861981,725,1
474450,761,98228,4.64,1937.277789,625,0
404258,762,40390,8.74,2956.072017,826,0
217151,763,109062,5.56,1036.599611,815,1
102862,764,48013,8.17,704.266817,621,0
497048,765,114977,8.3,3455.635914,624,0
131477,766,101931,3.7,447.7392351,795,1
390799,767,104867,3.86,1374.087357,766,1
229609,768,67501,5.13,1020.109476,628,0
347388,769,100351,3.62,1162.630359,632,0
101286,770,95087,8.72,738.8125051,780,1
461112,771,101876,8.43,3254.048134,756,1
159473,772,88256,5.66,772.6123475,822,1
375847,773,116620,5.59,1800.382584,812,1
135501,774,47114,5.9,681.5177505,680,0
264204,775,91813,8.28,1831.889073,690,1
392378,776,71871,8.95,2935.679484,823,1
431314,777,98587,9.03,3255.249622,666,0
489886,778,84489,6.45,2674.44061,684,1
479970,779,94651,4.43,1878.334149,634,0
444126,780,106982,8.68,3224.178124,673,0
176875,781,79763,3.63,590.8976838,594,0
377088,782,62328,4.84,1589.176428,675,0
396457,783,42170,7.03,2346.79572,720,0
432831,784,78783,5.41,2010.46417,800,1
421544,785,95128,3.33,1319.654427,764,1
293837,786,41272,7.29,1800.474154,584,0
260848,787,112822,4.96,1121.834308,676,0
374237,788,81096,9.4,2937.79959,599,0
265837,789,111450,8.24,1833.702066,850,1
194873,790,118222,4.61,786.6802128,744,1
385066,791,59814,3.52,1253.055166,626,0
456361,792,41676,4.03,1648.457156,753,1
345038,793,47495,7.48,2166.428758,587,0
411473,794,59155,3.44,1315.02357,607,0
497385,795,107153,6.32,2660.424124,673,0
441600,796,65135,8.41,3106.847421,760,0
227911,797,41979,7.51,1436.292003,749,1
481660,798,116186,7.03,2848.65624,601,0
296987,799,81675,3.59,978.4290062,661,0
356612,800,109917,7.8,2331.055636,600,0
154738,801,87899,5.79,762.7524954,845,1
388549,802,112562,4.4,1504.596917,731,1
242246,803,56421,4.28,916.5565701,662,0
236791,804,114240,5.21,1060.640608,694,1
152897,805,87277,6.37,823.2320296,778,1
474396,806,49382,3.28,1458.251354,607,0
132010,807,111509,5.84,655.4818197,844,1
194753,808,117619,4.64,787.8974737,792,1
163956,809,117043,8.07,1107.49582,657,0
240245,810,85753,5.6,1147.565158,691,1
193999,811,94969,6.32,1036.363045,646,0
373923,812,69033,3.47,1195.927699,672,0
370141,813,73945,6.45,2015.307349,802,1
362799,814,87563,3.03,1050.99428,641,0
164285,815,87621,6.68,924.5444998,787,1
102489,816,69786,5,441.8893315,614,0
409239,817,94688,8.45,2891.085198,802,1
181444,818,69443,4.76,749.1156319,715,1
430065,819,50775,4.95,1837.105476,595,0
333271,820,74161,5.69,1613.616595,829,1
467429,821,50195,3.92,1639.627109,587,0
186242,822,93582,3.21,560.5638926,583,0
290070,823,89473,6.48,1585.222791,738,1
493190,824,115050,5.89,2464.343105,636,0
170673,825,82318,9.02,1285.558876,840,1
101350,826,110193,6.87,585.4725911,698,1
324468,827,82203,4.91,1374.560276,595,0
354620,828,91603,5.06,1542.646745,848,1
272989,829,43001,4.89,1151.994976,716,1
195207,830,109773,4.79,808.8409484,669,0
345083,831,91399,6.53,1898.714486,698,1
315800,832,53222,6.56,1745.07614,760,1
325975,833,91296,6.48,1780.319422,738,1
371108,834,114674,4.55,1469.704132,686,1
347922,835,61505,4.87,1461.657143,597,0
124101,836,101686,3.45,392.3848936,723,1
291752,837,89499,3.33,897.8994127,633,0
372368,838,116741,7.11,2222.011974,674,0
365632,839,110024,4.85,1529.628271,822,1
119024,840,66552,3.25,359.4174643,683,1
151616,841,65724,9.04,1144.250434,611,0
236237,842,63568,8.09,1598.211204,617,0
383546,843,104672,7.94,2547.606324,797,1
488028,844,98905,3.26,1475.237685,770,1
447774,845,74347,8.29,3102.602672,670,0
272452,846,105233,7.93,1807.324873,666,0
361515,847,118709,9.32,2811.775811,705,1
310024,848,119151,3.56,1000.917406,706,1
177316,849,88432,6.53,974.6185558,728,1
248305,850,40689,9.4,1947.620872,616,0
247653,851,61451,8.36,1730.01706,659,0
331523,852,105761,8.24,2283.163326,741,1
328401,853,73960,7.17,1974.458408,594,0
473165,854,81241,7.94,3142.02772,613,0
110180,855,51882,8.21,756.0367825,593,0
161519,856,105754,9.27,1249.455909,689,1
268351,857,61821,4.85,1119.898818,699,1
311344,858,88463,9.1,2364.645173,711,1
209552,859,95140,4.2,771.8101275,682,1
277476,860,97091,8.09,1876.455952,831,1
447036,861,104408,6.99,2621.635468,618,0
180827,862,43947,5.19,801.4980973,597,0
265834,863,44925,3.84,908.319682,843,1
340153,864,98992,7.09,2022.192768,838,1
175229,865,63879,8.33,1219.453408,837,1
127261,866,116597,6.23,668.2372065,805,1
190470,867,49678,4.03,676.6404984,831,1
339010,868,78738,9.49,2683.8835,778,1
375146,869,105945,4.56,1480.377864,658,0
114384,870,67724,6.07,585.8599822,723,1
463336,871,88867,4.83,1923.07246,727,1
468015,872,62056,8.36,3268.180654,768,0
328489,873,116875,8.63,2366.925951,720,1
121972,874,72538,7.51,766.6260851,719,1
104868,875,43789,7.96,697.7688584,823,1
450184,876,106878,6.7,2532.819358,709,1
317420,877,108243,7.34,1950.833942,629,0
398285,878,95518,9.16,3044.077808,694,1
353774,879,47922,8.39,2478.896296,617,0
438934,880,59151,5.76,2138.508877,736,1
313298,881,72021,5.8,1536.232715,590,0
233174,882,108389,5.96,1172.940284,617,0
271690,883,111289,8.07,1832.043037,589,0
209503,884,116457,8.89,1554.347622,849,1
353497,885,72853,8.94,2637.253942,823,1
426224,886,99709,4.32,1600.715942,624,0
390657,887,118041,4.65,1564.43881,655,0
463804,888,49330,8.7,3368.093206,818,0
125483,889,85278,4.42,480.4852498,652,0
194430,890,115723,5.87,963.6116488,681,1
474846,891,93197,7,2785.574662,601,0
176701,892,47706,6.09,906.6753915,679,0
160962,893,76445,3.75,536.0542714,830,1
281625,894,41016,7.92,1863.929002,748,0
328061,895,86198,7.05,1937.600058,823,1
121736,896,70394,5.22,540.6140716,741,1
189955,897,47984,7.32,1163.699781,612,0
345236,898,50827,7.17,2072.630357,805,1
271540,899,83771,3.87,926.9986188,667,0
466266,900,93505,6.06,2380.21235,842,1
287150,901,41116,5.58,1355.993438,685,1
326543,902,115259,9.01,2454.675828,820,1
438310,903,44085,6.86,2520.325863,807,0
294527,904,106358,3.53,931.8870617,721,1
253433,905,64390,5.87,1254.869156,681,1
161851,906,118778,8.77,1184.476785,707,1
116818,907,104849,4.24,430.3135188,716,1
299893,908,104904,7.75,1942.429248,840,1
245279,909,85952,3.16,711.0154129,638,0
339483,910,58277,4.5,1316.737065,787,1
415543,911,81225,4.54,1624.211622,680,0
471369,912,102449,3.86,1601.866723,710,1
307421,913,81464,9.35,2397.32745,624,0
107457,914,65916,6.62,596.7125817,712,1
130809,915,109764,3.35,396.0761834,721,1
429641,916,95581,8.36,2998.354308,665,0
298629,917,47795,5.97,1501.53417,782,1
399574,918,56733,7.79,2600.745839,617,0
404682,919,86933,4.82,1667.363913,734,1
228957,920,72019,5.57,1077.958433,751,1
356084,921,82382,4.8,1461.318423,741,1
319303,922,77751,3.71,1048.037156,589,0
368485,923,58262,5.31,1658.724049,672,0
442017,924,46228,8.23,3036.991168,716,0
119541,925,79246,5.29,536.1439965,622,0
292999,926,45074,8.79,2148.712943,752,0
440139,927,63370,3.26,1300.913388,691,1
271100,928,48227,8.01,1813.370235,591,0
159956,929,108732,3.58,509.1924504,686,1
386421,930,99376,3.13,1106.008237,808,1
416316,931,111166,6.41,2239.529211,791,1
434578,932,118273,5.51,2023.743086,794,1
271000,933,50156,7.63,1727.777808,643,0
216138,934,117156,3.37,654.6834133,639,0
178811,935,118844,7.44,1112.066137,696,1
347821,936,91275,6.62,1930.012052,615,0
136135,937,64684,4.81,558.8394492,831,1
198623,938,42246,9.37,1551.96745,585,0
272156,939,113300,5.66,1299.328434,687,1
422491,940,65803,5.73,2040.571691,608,0
158978,941,101122,8.26,1096.022169,808,1
235133,942,72730,6.08,1201.625475,832,1
128752,943,110566,9.19,986.7666541,813,1
405867,944,61479,7.51,2547.102578,673,0
128068,945,86385,6.79,728.1715097,599,0
238207,946,65154,4.36,894.4270043,700,1
252526,947,80257,4.05,888.8433916,668,0
472568,948,84767,7.52,2969.381495,616,0
468733,949,66397,5.65,2232.826832,720,1
460973,950,115765,3.1,1303.191328,704,1
209290,951,108466,5.64,995.1784902,661,0
424470,952,82876,7.52,2666.980855,841,1
373284,953,101039,4.3,1383.363278,840,1
149764,954,50807,9.28,1158.920228,710,1
164685,955,40463,3.72,538.5443585,814,1
279295,956,86618,7.58,1768.511428,588,0
495827,957,95727,9.25,3824.460832,652,0
331186,958,77546,6.14,1707.419986,597,0
390752,959,96850,7.44,2429.136745,596,0
135792,960,94737,7.9,895.6097847,633,0
102018,961,107451,8.29,705.7190723,644,0
103037,962,111021,3.64,330.4832955,711,1
277096,963,95586,5.18,1215.328294,635,0
496143,964,92934,4.26,1821.111026,629,0
244019,965,41465,8.69,1768.777926,584,0
220971,966,57699,7.51,1386.255791,716,1
304367,967,115686,6.61,1684.86522,767,1
144822,968,104714,7.42,897.7826571,670,0
302566,969,106606,6.82,1726.699874,819,1
282258,970,42629,6.69,1580.780154,628,0
242687,971,41411,5.75,1174.197157,829,1
324084,972,108056,8.09,2188.055782,765,1
107106,973,69210,3.03,295.8801929,730,1
214599,974,42556,5.3,960.9509495,803,1
206878,975,65679,8.78,1514.897631,846,1
397553,976,115644,6.2,2067.5474,818,1
