AnnualReturn,ExcessReturn,SystematicRisk,TotalRisk,AbsWinRate,RelWinRate
0.614,0.585,0.343,0.327,0.68,0.6
0.506,0.476,0.227,0.222,0.56,0.533
0.493,0.48,0.355,0.343,0.68,0.6
0.559,0.526,0.256,0.245,0.56,0.667
0.533,0.508,0.294,0.293,0.56,0.667
0.485,0.464,0.248,0.257,0.8,0.333
0.556,0.53,0.331,0.313,0.68,0.533
0.729,0.705,0.501,0.459,0.56,0.6
0.628,0.603,0.401,0.373,0.56,0.533
0.548,0.522,0.311,0.294,0.56,0.667
0.544,0.514,0.262,0.257,0.68,0.6
0.588,0.566,0.391,0.369,0.56,0.467
0.571,0.542,0.304,0.293,0.68,0.667
0.638,0.602,0.331,0.312,0.56,0.8
